url,datetime,title,row_index,mode,header_mode,needed_bits,capacity_bits,fits,success,substitutions,ppl_content,ppl_stego,delta_ppl,ratio_ppl
,,gutenberg_70,70,VERB,len_crc,96,90,0,0,0,112.24372100830078,,,
,,gutenberg_70,70,ADJ,len_crc,96,16,0,0,0,112.24372100830078,,,
,,gutenberg_70,70,ANY,len_crc,96,271,1,1,62,112.24372100830078,139.50784301757812,27.264122009277344,1.2429010884917213
,,gutenberg_71,71,NOUN,len_crc,96,85,0,0,0,107.654541015625,,,
,,gutenberg_71,71,VERB,len_crc,96,143,1,1,64,107.654541015625,139.96788024902344,32.31333923339844,1.3001576982127347
,,gutenberg_71,71,ADJ,len_crc,96,15,0,0,0,107.654541015625,,,
,,gutenberg_71,71,ANY,len_crc,96,304,1,1,61,107.654541015625,139.06239318847656,31.407852172851562,1.2917466544053449
,,gutenberg_72,72,NOUN,len_crc,96,87,0,0,0,102.86898803710938,,,
,,gutenberg_72,72,VERB,len_crc,96,69,0,0,0,102.86898803710938,,,
,,gutenberg_72,72,ADJ,len_crc,96,13,0,0,0,102.86898803710938,,,
,,gutenberg_72,72,ANY,len_crc,96,213,1,1,59,102.86898803710938,130.68032836914062,27.81134033203125,1.2703568963077432
,,gutenberg_73,73,NOUN,len_crc,96,77,0,0,0,88.48975372314453,,,
,,gutenberg_73,73,VERB,len_crc,96,106,1,1,54,88.48975372314453,111.39222717285156,22.90247344970703,1.2588149755887148
,,gutenberg_73,73,ADJ,len_crc,96,24,0,0,0,88.48975372314453,,,
,,gutenberg_73,73,ANY,len_crc,96,245,1,1,58,88.48975372314453,107.46113586425781,18.97138214111328,1.2143907214440728
,,gutenberg_74,74,NOUN,len_crc,96,94,0,0,0,182.22091674804688,,,
,,gutenberg_74,74,VERB,len_crc,96,92,0,0,0,182.22091674804688,,,
,,gutenberg_74,74,ADJ,len_crc,96,7,0,0,0,182.22091674804688,,,
,,gutenberg_74,74,ANY,len_crc,96,245,1,1,63,182.22091674804688,209.92127990722656,27.700363159179688,1.1520152771346246
,,gutenberg_75,75,NOUN,len_crc,96,83,0,0,0,100.18695831298828,,,
,,gutenberg_75,75,VERB,len_crc,96,138,1,1,56,100.18695831298828,127.21985626220703,27.03289794921875,1.2698245201213398
,,gutenberg_75,75,ADJ,len_crc,96,22,0,0,0,100.18695831298828,,,
,,gutenberg_75,75,ANY,len_crc,96,306,1,1,57,100.18695831298828,125.58604431152344,25.399085998535156,1.2535168890863753
,,gutenberg_76,76,NOUN,len_crc,96,76,0,0,0,66.97650146484375,,,
,,gutenberg_76,76,VERB,len_crc,96,125,1,1,59,66.97650146484375,85.76042175292969,18.783920288085938,1.2804553817721533
,,gutenberg_76,76,ADJ,len_crc,96,15,0,0,0,66.97650146484375,,,
,,gutenberg_76,76,ANY,len_crc,96,280,1,1,53,66.97650146484375,85.29240417480469,18.315902709960938,1.2734675939975013
,,gutenberg_77,77,NOUN,len_crc,96,110,1,1,53,88.6666030883789,105.29881286621094,16.63220977783203,1.1875814477887892
,,gutenberg_77,77,VERB,len_crc,96,133,1,1,68,88.6666030883789,123.95110321044922,35.28450012207031,1.3979457754449023
,,gutenberg_77,77,ADJ,len_crc,96,17,0,0,0,88.6666030883789,,,
,,gutenberg_77,77,ANY,len_crc,96,318,1,1,68,88.6666030883789,114.39598846435547,25.729385375976562,1.2901812461489097
,,gutenberg_78,78,NOUN,len_crc,96,63,0,0,0,102.20375061035156,,,
,,gutenberg_78,78,VERB,len_crc,96,74,0,0,0,102.20375061035156,,,
,,gutenberg_78,78,ADJ,len_crc,96,2,0,0,0,102.20375061035156,,,
,,gutenberg_78,78,ANY,len_crc,96,169,1,1,60,102.20375061035156,118.73341369628906,16.5296630859375,1.1617324509836855
,,gutenberg_79,79,NOUN,len_crc,96,90,0,0,0,90.39362335205078,,,
,,gutenberg_79,79,VERB,len_crc,96,125,1,1,59,90.39362335205078,128.7161102294922,38.322486877441406,1.4239512197468736
,,gutenberg_79,79,ADJ,len_crc,96,12,0,0,0,90.39362335205078,,,
,,gutenberg_79,79,ANY,len_crc,96,255,1,1,54,90.39362335205078,117.96827697753906,27.57465362548828,1.3050508719856808
,,gutenberg_80,80,NOUN,len_crc,96,87,0,0,0,162.2911834716797,,,
,,gutenberg_80,80,VERB,len_crc,96,142,1,1,67,162.2911834716797,220.0394744873047,57.748291015625,1.3558313506642352
,,gutenberg_80,80,ADJ,len_crc,96,14,0,0,0,162.2911834716797,,,
,,gutenberg_80,80,ANY,len_crc,96,366,1,1,64,162.2911834716797,202.66944885253906,40.378265380859375,1.2488013490141656
,,gutenberg_81,81,NOUN,len_crc,96,90,0,0,0,108.69400787353516,,,
,,gutenberg_81,81,VERB,len_crc,96,150,1,1,62,108.69400787353516,151.9539794921875,43.259971618652344,1.3979977596279738
,,gutenberg_81,81,ADJ,len_crc,96,24,0,0,0,108.69400787353516,,,
,,gutenberg_81,81,ANY,len_crc,96,328,1,1,64,108.69400787353516,139.1183624267578,30.424354553222656,1.279908296220167
,,gutenberg_82,82,NOUN,len_crc,96,110,1,1,57,99.61432647705078,126.14239501953125,26.52806854248047,1.2663077639599563
,,gutenberg_82,82,VERB,len_crc,96,122,1,1,63,99.61432647705078,139.4475860595703,39.83325958251953,1.3998748070810512
,,gutenberg_82,82,ADJ,len_crc,96,14,0,0,0,99.61432647705078,,,
,,gutenberg_82,82,ANY,len_crc,96,321,1,1,69,99.61432647705078,132.7338104248047,33.119483947753906,1.332477115682592
,,gutenberg_83,83,NOUN,len_crc,96,69,0,0,0,82.23109436035156,,,
,,gutenberg_83,83,VERB,len_crc,96,142,1,1,65,82.23109436035156,113.39376831054688,31.162673950195312,1.3789646020474302
,,gutenberg_83,83,ADJ,len_crc,96,20,0,0,0,82.23109436035156,,,
,,gutenberg_83,83,ANY,len_crc,96,288,1,1,55,82.23109436035156,105.7479019165039,23.516807556152344,1.2859843680676002
,,gutenberg_84,84,NOUN,len_crc,96,102,1,1,59,87.67945861816406,96.86432647705078,9.184867858886719,1.1047550703852538
,,gutenberg_84,84,VERB,len_crc,96,88,0,0,0,87.67945861816406,,,
,,gutenberg_84,84,ADJ,len_crc,96,19,0,0,0,87.67945861816406,,,
,,gutenberg_84,84,ANY,len_crc,96,249,1,1,65,87.67945861816406,100.94019317626953,13.260734558105469,1.151241063381273
,,gutenberg_85,85,NOUN,len_crc,96,80,0,0,0,85.65191650390625,,,
,,gutenberg_85,85,VERB,len_crc,96,124,1,1,59,85.65191650390625,116.46099853515625,30.80908203125,1.3597010235006817
,,gutenberg_85,85,ADJ,len_crc,96,13,0,0,0,85.65191650390625,,,
,,gutenberg_85,85,ANY,len_crc,96,279,1,1,60,85.65191650390625,106.35371398925781,20.701797485351562,1.2416968391408665
,,gutenberg_86,86,NOUN,len_crc,96,78,0,0,0,98.51529693603516,,,
,,gutenberg_86,86,VERB,len_crc,96,76,0,0,0,98.51529693603516,,,
,,gutenberg_86,86,ADJ,len_crc,96,19,0,0,0,98.51529693603516,,,
,,gutenberg_86,86,ANY,len_crc,96,216,1,1,69,98.51529693603516,136.55233764648438,38.03704071044922,1.3861028885204114
,,gutenberg_87,87,NOUN,len_crc,96,88,0,0,0,119.2135238647461,,,
,,gutenberg_87,87,VERB,len_crc,96,90,0,0,0,119.2135238647461,,,
,,gutenberg_87,87,ADJ,len_crc,96,22,0,0,0,119.2135238647461,,,
,,gutenberg_87,87,ANY,len_crc,96,247,1,1,56,119.2135238647461,145.855224609375,26.641700744628906,1.223478846031389
,,gutenberg_88,88,NOUN,len_crc,96,116,1,1,46,176.04751586914062,189.23507690429688,13.18756103515625,1.0749091003644653
,,gutenberg_88,88,VERB,len_crc,96,146,1,1,58,176.04751586914062,212.36346435546875,36.315948486328125,1.206284924311698
,,gutenberg_88,88,ADJ,len_crc,96,17,0,0,0,176.04751586914062,,,
,,gutenberg_88,88,ANY,len_crc,96,329,1,1,59,176.04751586914062,202.158203125,26.110687255859375,1.1483161357145644
,,gutenberg_89,89,NOUN,len_crc,96,93,0,0,0,109.95182037353516,,,
,,gutenberg_89,89,VERB,len_crc,96,119,1,1,61,109.95182037353516,147.8131866455078,37.861366271972656,1.3443450608034289
,,gutenberg_89,89,ADJ,len_crc,96,18,0,0,0,109.95182037353516,,,
,,gutenberg_89,89,ANY,len_crc,96,298,1,1,61,109.95182037353516,142.32044982910156,32.368629455566406,1.2943892092518494
,,gutenberg_90,90,NOUN,len_crc,96,89,0,0,0,91.98539733886719,,,
,,gutenberg_90,90,VERB,len_crc,96,132,1,1,51,91.98539733886719,120.58904266357422,28.60364532470703,1.3109585450757295
,,gutenberg_90,90,ADJ,len_crc,96,20,0,0,0,91.98539733886719,,,
,,gutenberg_90,90,ANY,len_crc,96,270,1,1,56,91.98539733886719,121.53385162353516,29.54845428466797,1.3212298379906293
,,gutenberg_91,91,NOUN,len_crc,96,108,1,1,51,214.92185974121094,247.37060546875,32.44874572753906,1.15097927110165
,,gutenberg_91,91,VERB,len_crc,96,125,1,1,59,214.92185974121094,249.50210571289062,34.58024597167969,1.1608968301936249
,,gutenberg_91,91,ADJ,len_crc,96,26,0,0,0,214.92185974121094,,,
,,gutenberg_91,91,ANY,len_crc,96,300,1,1,66,214.92185974121094,261.2111511230469,46.28929138183594,1.2153773070713851
,,gutenberg_92,92,NOUN,len_crc,96,92,0,0,0,107.8780746459961,,,
,,gutenberg_92,92,VERB,len_crc,96,105,1,1,60,107.8780746459961,139.92343139648438,32.04535675048828,1.2970516192066435
,,gutenberg_92,92,ADJ,len_crc,96,12,0,0,0,107.8780746459961,,,
,,gutenberg_92,92,ANY,len_crc,96,273,1,1,51,107.8780746459961,129.9778289794922,22.099754333496094,1.2048586277240936
,,gutenberg_93,93,NOUN,len_crc,96,112,1,1,56,197.0681915283203,220.45724487304688,23.389053344726562,1.1186850762841924
,,gutenberg_93,93,VERB,len_crc,96,154,1,1,61,197.0681915283203,251.4312744140625,54.36308288574219,1.2758592468126941
,,gutenberg_93,93,ADJ,len_crc,96,14,0,0,0,197.0681915283203,,,
,,gutenberg_93,93,ANY,len_crc,96,334,1,1,55,197.0681915283203,230.84461975097656,33.77642822265625,1.1713946221392217
,,gutenberg_94,94,NOUN,len_crc,96,93,0,0,0,66.60264587402344,,,
,,gutenberg_94,94,VERB,len_crc,96,113,1,1,62,66.60264587402344,98.5151138305664,31.91246795654297,1.4791471500532318
,,gutenberg_94,94,ADJ,len_crc,96,9,0,0,0,66.60264587402344,,,
,,gutenberg_94,94,ANY,len_crc,96,300,1,1,68,66.60264587402344,91.52594757080078,24.923301696777344,1.3742088826909202
,,gutenberg_95,95,NOUN,len_crc,96,65,0,0,0,140.94772338867188,,,
,,gutenberg_95,95,VERB,len_crc,96,93,0,0,0,140.94772338867188,,,
,,gutenberg_95,95,ADJ,len_crc,96,17,0,0,0,140.94772338867188,,,
,,gutenberg_95,95,ANY,len_crc,96,213,1,1,64,140.94772338867188,171.28726196289062,30.33953857421875,1.2152538391170438
,,gutenberg_96,96,NOUN,len_crc,96,75,0,0,0,73.8991928100586,,,
,,gutenberg_96,96,VERB,len_crc,96,80,0,0,0,73.8991928100586,,,
,,gutenberg_96,96,ADJ,len_crc,96,30,0,0,0,73.8991928100586,,,
,,gutenberg_96,96,ANY,len_crc,96,231,1,1,57,73.8991928100586,92.8924789428711,18.9932861328125,1.2570161514704297
,,gutenberg_97,97,NOUN,len_crc,96,56,0,0,0,379.0117492675781,,,
,,gutenberg_97,97,VERB,len_crc,96,138,1,1,58,379.0117492675781,453.5871887207031,74.575439453125,1.1967628697454324
,,gutenberg_97,97,ADJ,len_crc,96,9,0,0,0,379.0117492675781,,,
,,gutenberg_97,97,ANY,len_crc,96,244,1,1,61,379.0117492675781,422.2226257324219,43.21087646484375,1.114009332292064
,,gutenberg_98,98,NOUN,len_crc,96,98,1,1,51,64.02332305908203,79.17040252685547,15.147079467773438,1.2365868990242104
,,gutenberg_98,98,VERB,len_crc,96,135,1,1,65,64.02332305908203,86.47666931152344,22.453346252441406,1.3507057300309295
,,gutenberg_98,98,ADJ,len_crc,96,8,0,0,0,64.02332305908203,,,
,,gutenberg_98,98,ANY,len_crc,96,305,1,1,60,64.02332305908203,82.01168823242188,17.988365173339844,1.2809658154847696
,,gutenberg_99,99,NOUN,len_crc,96,67,0,0,0,220.09677124023438,,,
,,gutenberg_99,99,VERB,len_crc,96,107,1,1,58,220.09677124023438,249.6502685546875,29.553497314453125,1.1342750152486138
,,gutenberg_99,99,ADJ,len_crc,96,21,0,0,0,220.09677124023438,,,
,,gutenberg_99,99,ANY,len_crc,96,234,1,1,61,220.09677124023438,246.38551330566406,26.288742065429688,1.119441743362676
,,gutenberg_100,100,NOUN,len_crc,96,95,0,0,0,139.26605224609375,,,
,,gutenberg_100,100,VERB,len_crc,96,125,1,1,66,139.26605224609375,171.61517333984375,32.34912109375,1.2322828899937985
,,gutenberg_100,100,ADJ,len_crc,96,13,0,0,0,139.26605224609375,,,
,,gutenberg_100,100,ANY,len_crc,96,305,1,1,54,139.26605224609375,165.8829345703125,26.61688232421875,1.1911225449055214
,,gutenberg_101,101,NOUN,len_crc,96,91,0,0,0,54.3353157043457,,,
,,gutenberg_101,101,VERB,len_crc,96,159,1,1,64,54.3353157043457,78.5987319946289,24.263416290283203,1.4465496514699119
,,gutenberg_101,101,ADJ,len_crc,96,11,0,0,0,54.3353157043457,,,
,,gutenberg_101,101,ANY,len_crc,96,361,1,1,65,54.3353157043457,72.06907653808594,17.733760833740234,1.3263763282472636
,,gutenberg_102,102,NOUN,len_crc,96,118,1,1,53,88.36469268798828,113.4368667602539,25.072174072265625,1.2837352036157057
,,gutenberg_102,102,VERB,len_crc,96,123,1,1,62,88.36469268798828,121.28670501708984,32.92201232910156,1.3725697597947597
,,gutenberg_102,102,ADJ,len_crc,96,22,0,0,0,88.36469268798828,,,
,,gutenberg_102,102,ANY,len_crc,96,315,1,1,57,88.36469268798828,114.96365356445312,26.598960876464844,1.301013448554442
,,gutenberg_103,103,NOUN,len_crc,96,106,1,1,46,59.44704055786133,70.83786010742188,11.390819549560547,1.1916128951528473
,,gutenberg_103,103,VERB,len_crc,96,80,0,0,0,59.44704055786133,,,
,,gutenberg_103,103,ADJ,len_crc,96,11,0,0,0,59.44704055786133,,,
,,gutenberg_103,103,ANY,len_crc,96,246,1,1,60,59.44704055786133,74.61750030517578,15.170459747314453,1.2551928507281813
,,gutenberg_104,104,NOUN,len_crc,96,99,1,1,60,96.32170867919922,114.6983642578125,18.37665557861328,1.190784152716985
,,gutenberg_104,104,VERB,len_crc,96,109,1,1,58,96.32170867919922,126.36153411865234,30.039825439453125,1.3118697316666297
,,gutenberg_104,104,ADJ,len_crc,96,27,0,0,0,96.32170867919922,,,
,,gutenberg_104,104,ANY,len_crc,96,293,1,1,56,96.32170867919922,112.73500061035156,16.413291931152344,1.170400755512104
,,gutenberg_105,105,NOUN,len_crc,96,115,1,1,57,71.24667358398438,85.8447036743164,14.598030090332031,1.2048941986480832
